Network,Country
2a07:c200::/29,IR
2a07:e440::/29,IR
2a07:e680::/29,IR
2a07:e9c0::/29,IR
2a09:1180::/29,IR
2a09:2a00::/29,IR
2a09:2b80::/29,IR
2a09:2e00::/29,IR
2a09:5780::/29,IR
2a09:5880::/29,IR
2a09:5d00::/32,IR
2a09:7fc0::/29,IR
2a09:9040::/29,IR
2a09:90c0::/29,IR
2a09:9580::/29,IR
2a09:ad00::/29,IR
2a09:b6c0::/29,IR
2a09:e280::/29,IR
2a0a:480::/29,IR
2a0a:900::/29,IR
2a0a:c80::/29,IR
2a0a:2440::/32,IR
2a0a:24c0::/29,IR
2a0a:2fc0::/29,IR
2a0a:3c40::/29,IR
2a0a:3e40::/29,IR
2a0a:40c0::/29,IR
2a0a:46c0::/29,IR
2a0a:4b80::/29,IR
2a0a:4e00::/29,IR
2a0a:5540::/29,IR
2a0a:5e80::/29,IR
2a0a:5f80::/29,IR
2a0a:74c0::/32,IR
2a0a:7900::/29,IR
2a0a:97c0::/29,IR
2a0a:a480::/29,IR
2a0a:bc40::/32,IR
2a0a:d340::/29,IR
2a0a:d400::/29,IR
2a0a:e600::/32,IR
2a0a:eb40::/29,IR
2a0a:fbc0::/29,IR
2a0b:900::/32,IR
2a0b:ac0::/29,IR
2a0b:f80::/29,IR
2a0b:1b40::/29,IR
2a0b:1e40::/29,IR
2a0b:1fc0::/29,IR
2a0b:2880::/29,IR
2a0b:3000::/29,IR
2a0b:3cc0::/29,IR
2a0b:4a00::/29,IR
2a0b:5a00::/29,IR
2a0b:6b00::/29,IR
2a0b:7b40::/29,IR
2a0b:8ac0::/29,IR
2a0b:92c0::/29,IR
2a0b:9880::/29,IR
2a0b:a9c0::/29,IR
2a0b:ab40::/32,IR
2a0b:b400::/29,IR
2a0b:be80::/29,IR
2a0b:c100::/29,IR
2a0b:d300::/29,IR
2a0b:d400::/29,IR
2a0b:d8c0::/29,IR
2a0c:100::/29,IR
2a0c:1740::/29,IR
2a0c:3680::/29,IR
2a0c:3880::/29,IR
2a0c:4000::/32,IR
2a0c:6700::/29,IR
2a0c:9800::/29,IR
2a0c:99c0::/29,IR
2a0c:a5c0::/29,IR
2a0c:a700::/29,IR
2a0c:a7c0::/29,IR
2a0c:aa00::/29,IR
2a0c:adc0::/29,IR
2a0c:b100::/29,IR
2a0c:b900::/29,IR
2a0c:d080::/32,IR
2a0c:e4c0::/32,IR
2a0d:1540::/29,IR
2a0d:2380::/29,IR
2a0d:2880::/29,IR
2a0d:4680::/29,IR
2a0d:6300::/29,IR
2a0d:6600::/29,IR
2a0d:7180::/29,IR
2a0d:7780::/29,IR
2a0d:84c0::/29,IR
2a0d:9500::/29,IR
2a0d:9680::/29,IR
2a0d:a700::/29,IR
2a0d:ba80::/29,IR
2a0d:c540::/29,IR
2a0d:c640::/29,IR
2a0d:d580::/32,IR
2a0e::/26,IR
2a0e:1240::/29,IR
2a0e:1f00::/29,IR
2a0e:3180::/29,IR
2a0e:4400::/29,IR
2a0e:49c0::/32,IR
2a0e:4a40::/29,IR
2a0e:6480::/29,IR
2a0e:6780::/29,IR
2a0e:6f40::/29,IR
2a0e:8300::/29,IR
2a0e:87c0::/29,IR
2a0e:a140::/29,IR
2a0e:b080::/29,IR
2a0e:c600::/32,IR
2a0e:d540::/29,IR
2a0e:ea00::/29,IR
2a0e:f3c0::/29,IR
2a0f:2b80::/29,IR
2a0f:5040::/29,IR
2a0f:51c0::/29,IR
2a0f:6180::/29,IR
2a0f:6400::/29,IR
2a0f:6c00::/29,IR
2a0f:7380::/29,IR
2a0f:c040::/29,IR
2a0f:c7c0::/29,IR
2a0f:cbc0::/29,IR
2a0f:d380::/29,IR
2a0f:d580::/29,IR
2a0f:d640::/29,IR
2a0f:ed40::/29,IR
2a0f:f1c0::/29,IR
2a10:3a80::/29,IR
2a10:4340::/29,IR
2a10:5740::/29,IR
2a10:5c40::/29,IR
2a10:60c0::/29,IR
2a10:6140::/29,IR
2a10:73c0::/32,IR
2a10:76c0::/29,IR
2a10:8180::/29,IR
2a10:8880::/29,IR
2a10:8b80::/29,IR
2a10:9340::/29,IR
2a10:a440::/29,IR
2a10:a780::/29,IR
2a10:ab00::/29,IR
2a10:b240::/29,IR
2a10:b800::/29,IR
2a10:c1c0::/29,IR
2a10:c4c0::/29,IR
2a10:ef00::/29,IR
2a10:fe00::/32,IR
2a11:1dc0::/29,IR
2a11:6e80::/29,IR
2a11:7700::/29,IR
2a11:7bc0::/29,IR
2a11:8a80::/29,IR
2a11:9980::/29,IR
2a11:9b40::/29,IR
2a11:9bc0::/29,IR
2a11:bac0::/29,IR
2a11:cdc0::/29,IR
2a11:d4c0::/29,IR
2a11:ddc0::/29,IR
2a11:e040::/29,IR
